Smartphone,review_url,reviewer,rating,review_date,review_text,performance,battery,camera,display,overall
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R16VUEQTKVRCKM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Jac,"5,0 su 5 stelle",Recensito in Italia il 12 gennaio 2025,"Il Samsung Galaxy A35 è uno smartphone di fascia media che offre un ottimo equilibrio tra prestazioni, design e funzionalità. Dopo alcune settimane di utilizzo, ecco i pro e i contro che ho riscontrato:

Pro
Display di alta qualità: Lo schermo AMOLED da 6,5"" è vivace e offre colori brillanti con neri profondi. Ideale per lo streaming di video o per il gaming.
Batteria duratura: La batteria da 5000 mAh garantisce un’intera giornata di utilizzo anche con un uso intenso.
Fotocamere versatili: La tripla fotocamera posteriore, con un sensore principale da 50 MP, scatta foto nitide e dettagliate, mentre l’obiettivo ultragrandangolare è ottimo per paesaggi.
Design elegante: Il telefono ha un look moderno e una finitura che non trattiene troppo le impronte. Inoltre, è leggero e comodo da tenere in mano.
Buone prestazioni: Il processore Exynos/MediTek offre fluidità nelle operazioni quotidiane e regge bene il multitasking.
Espansione memoria: Lo slot microSD consente di espandere facilmente la memoria, un’opzione sempre utile.
Connettività completa: Supporto 5G, Wi-Fi veloce e Bluetooth 5.2 assicurano una connessione stabile.
Contro
Ricarica rapida limitata: Anche se supporta la ricarica rapida da 25W, la velocità non è al passo con alcuni concorrenti nella stessa fascia di prezzo.
Materiali plastici: Il retro in plastica riduce la sensazione premium rispetto a modelli concorrenti con materiali più pregiati.
Prestazioni nei giochi intensivi: Sebbene funzioni bene per l’uso quotidiano, i giochi più pesanti possono mostrare qualche lag.
Audio mono: L’audio è decente ma manca la qualità stereo, che migliorerebbe l’esperienza multimediale.
Mancanza del caricatore: Come molti dispositivi recenti, nella confezione non è incluso il caricabatterie, una scelta che potrebbe deludere alcuni utenti.
Conclusione
Il Samsung Galaxy A35 è un’ottima scelta per chi cerca uno smartphone affidabile con un display eccezionale e una batteria che dura a lungo. Sebbene ci siano alcuni compromessi, specialmente nei materiali e nella velocità di ricarica, le sue caratteristiche lo rendono competitivo nella fascia media. Perfetto per chi cerca un dispositivo bilanciato per uso quotidiano.
",1,1,2,2,1
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/RUAXFHLDH7HQC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,michele,"5,0 su 5 stelle",Recensito in Italia il 29 agosto 2026,"Cercavo un cellulare buono a buon prezzo...
Lo trovato ed è arrivato molto velocemente...sono soddisfatto
",NA,NA,NA,NA,1
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R2ISY6ES4RP3NC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Mattia,"5,0 su 5 stelle",Recensito in Italia il 4 settembre 2026,"Cellulare molto bello
",NA,NA,NA,NA,2
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R9WXRO1LXEOFO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Boustrophedon,"4,0 su 5 stelle",Recensito in Italia il 8 ottobre 2025,"Premetto di averlo comprato come ""muletto"", e di aver sempre avuto smartphone di alta gamma, soprattutto nel comparto fotografico.
Ecco, la componente fotografica è piuttosto scarsa (ma, ripeto, sono abituato a usare i migliori telefoni Android da questo punto di vista) e le performance generali sono anch'esse ben distanti dai top di gamma. La reattività alla quale sono abituato sul telefono principale qui è impensabile.
Però costa un quinto dei top di gamma meno cari, consente l'uso di eSim e ha funzionalità di riconoscimento facciale e delle impronte digitali più che dignitose.
Insomma, un telefono ""moderno"", con performances decenti a poco più di duecento euro. Non consideratelo solo se siete appassionati di fotografia e usate davvero il telefono per fotografare.
",-1,NA,-2,NA,1
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/RO0VM888PJJP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Matteo,"5,0 su 5 stelle",Recensito in Italia il 5 agosto 2026,"Ottimo come tutti i Samsung
",NA,NA,NA,NA,2
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R51XJVR4WTIUU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,xxx,"5,0 su 5 stelle",Recensito in Italia il 8 gennaio 2026,"Ho già un A33 e questo modello l'ho acquistato per regalarlo a Natale. Funziona perfettamente e non è diverso dall'A33 se non in meglio. Quello che mi piace dei Galaxy è che non fanno tribulare per capire come utilizzarli. Sono semplici e intuitivi anche per una come me che capisce poco di tecnologia. È un bel telefono di fascia media. Fa belle fotografie ed è anche leggero ma robusto. Contentissima dell'acquisto
",1,NA,1,NA,2
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R3KJH2TBHWPX40/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Mara,"5,0 su 5 stelle",Recensito in Italia il 10 luglio 2026,"Telefono buono .preso in offerta e rateizzato.fa il suo .io compro sempre samsung nn mi delude mai.consiglio
",NA,NA,NA,NA,1
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R32AXUU4GOGHOF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Massimo,"1,0 su 5 stelle",Recensito in Italia il 27 maggio 2026,"Il prodotto è arrivato integro e funzionante, ma dopo 1 anno mi da problemi con la.batteria che si surriscalda. Il cellulare è in garanzia ma non ho la fattura dell'acquisto e non riesco ne a scaricarla ne a contattare la.società mittente e neanche il supporto di amazon. Se riuscite a risolvermi il problema. GRAZIE
",NA,-2,NA,NA,-1
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R2NNOD3CWSURRB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,giosuè,"4,0 su 5 stelle",Recensito in Italia il 22 luglio 2026,"Un buon rapporto qualità prezzo, simile a quello che avevo ma fa delle foto con immagini più nitide. Veloce quanto basta per risolvere i problemi quotidiani.
",1,NA,1,NA,1
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R5YD3IF4NDENT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Cliente Amazon,"4,0 su 5 stelle",Recensito in Italia il 23 luglio 2026,"Scelto per capacità memoria
",NA,NA,NA,NA,1
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R2OX8OFWAHIJES/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,D'Antona Vincenzo,"5,0 su 5 stelle",Recensito in Italia il 18 agosto 2026,"Come da descrizione.
",NA,NA,NA,NA,0
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R2F0W60Q3KOU3D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Elio Fioretti,"4,0 su 5 stelle",Recensito in Italia il 28 giugno 2026,"E' molto bello ma, un po' troppo pesante.
",NA,NA,NA,NA,1
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R1UHFMABQS85XP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,صالح حميده صالح رزق,"4,0 su 5 stelle",Recensito in Italia il 26 giugno 2026,"تمام
",NA,NA,NA,NA,1
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R2U8N9JKLPBOOO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,RODOLFO G.,"5,0 su 5 stelle",Recensito in Italia il 24 luglio 2026,"Ottimo
",NA,NA,NA,NA,2
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/RXI99L1K7KA7I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Gospodaru Carmen valentina,"5,0 su 5 stelle",Recensito in Italia il 21 luglio 2026,"Bono
",NA,NA,NA,NA,0
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R87KJV6A8PIF4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Katty,"3,0 su 5 stelle",Recensito in Italia il 30 agosto 2026,"Purtroppo sì è rotto dopo 6 mesi, sono stata costretta a ricomprarlo, per fortuna mi hanno rimborsato anche se comunque ho perso tempo e soldi visto che il prezzo era diverso. Ora spero duri di più.
",NA,NA,NA,NA,-2
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R2R8CAL1NQYXQ8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Ferruccio,"5,0 su 5 stelle",Recensito in Italia il 25 giugno 2026,"Ottimo Telefono facile da usare e intuitivo. Ottimo anche il prezzo. Soddisfatto.
",NA,NA,NA,NA,2
