Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/R1OFHJKN3Z37AU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Marco F.,"5,0 su 5 stelle",Recensito in Italia il 21 maggio 2024,"Premetto che sono fan degli smartphone Google dai tempi dei Nexus, ho avuto il Nexus 4, il 5 e il Nexus 7 (tablet), per qualche anno sono passato ad altre marche ma poi sono tornato a Google e ho ripreso un Pixel 6a.
Già alla presentazione il Pixel 8a mi ha impressionato per le caratteristiche che lo mettono quasi alla pari del fratello maggiore Pixel 8:
- Pixel 8a ha un display da 6,1 pollici, rispetto a display da 6,2 pollici del Pixel 8;
- Il telaio è in alluminio il retro è il plastica, di ottima fattura e non in vetro come su Pixel 8;
- batteria da 4492 mah su Pixel 8a, 4575 mah su Pixel 8
- ricarica 18w 8A, 27w Pixel 8
- processore e memorie sono le stesse per entrambi i modelli
All'interno della confezione sono presenti il cavo dati/ricarica, un USB-A/C, il manuale e la clip per
aprire il vano delle sim, purtroppo non dotare più gli smartphone .
Ho scelto la versione nera, la qualità del display è spettacolare, sotto il sole diretto è perfettamente visibile grazie ai 1400 Nits in sdr e 2000 in hdr, per fare un paragone Samsung s23 raggiunge i 1750 nits, inoltre possiede un refresh rate fino ce fa dai 60 ai 120Hz in base alle esigenze rendendo la visibilità molto fluida.
Grazie anche alla dotazione hardware, Tensor G3, 8GB di ram LPDDR5x e memorie UFS 3.1 (stesse le Pixel 8), il Pixel 8a non ha impuntamenti o lag e nell'uso quotidiano va benissimo alla pari di qualunque top di gamma.
La batteria ha un'ottima durata si arriva tranquillamente a sera con uso intenso con una percentuale tra il 30% e 40%, peccato per la lentezza della ricarica solo 18w con cavo e 7w in modalità wireless.
Le fotocamere sono le stesse del Pixel 7a ma grazie al Tensor G3 i risultati sono migliori di quest'ultimo e sfido chiunque a distinguerli da quelli del Pixel 8 e quindi tranquillamente paragonabili ad un cameraphone.
Un atro punto a suo favore è che le funzioni di IA (Scatto Migliore, Magic Editor, Gomma Magica, Foto Nitida, Cerchia e Cerca, la generazione degli sfondi da descrizione ecc) presenti sul Pixel 8 sono state portate anche sull'8a, fantastica la ""gomma magica"" che divide da un video la voce, la musica e i rumori.
Inoltre non va dimenticato il fatto che Google Pixel 8A verrà aggiornato per 7 anni.
Non ho trovato particolari note negative sul Pixel 8a se non la lentezza della ricarica (attenzione però in circa 90 minuti lo si ricarica lo stesso) e forse le cornici intorno al display più marcate rispetto al fratello maggiore, ma ripeto sono aspetti più che trascurabili per uno smartphone che darà molte soddisfazioni.
Al momento il prezzo è troppo vicino al prezzo del Pixel 8, io ho usufruito della promo sulla permuta dell'usato, ma già a 100€ in meno sarà lo smartphone da battere sotto i 500 €.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R152D0E5VZZPMD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Ricky90,"5,0 su 5 stelle",Recensito in Italia il 9 ottobre 2025,"Il Google Pixel 8a è un comodissimo smartphone di media fascia, grazie alle sue dimensioni contenute in un mondo di telefoni Android fatto per lo più di schermi molto grandi.
L'esperienza d'uso è fantastica, sistema operativo Android Stock pulito, leggero e velocissimo, mai un crash o problemi di sorta ed in più con supporto di 5 anni, risultando uno smartphone adatto all'uso personale e lavorativo di tutti i giorni, come nel mio specifico utilizzo.
Per quanto riguarda il sensore di impronte, consiglio di registrare l'impronta nel buio assoluto, in quanto alla luce la registrazione non è perfetta e avrete problemi di sblocco più avanti.
Non dispone della ricarica veloce, cosa per me inutile perché già con un caricatore da 15W ha tempi di ricarica ragionevoli (in un'ora avete già quasi tutta la batteria carica), ed in più troppe ricariche veloci faranno male alla salute della batteria.
Unico neo per me è la mancanza dello slot di espansione della memoria, e questo vi costringe come nel mio caso a scegliere il taglio più costoso da 256 GB, nel caso possediate molte foto e files nel telefono.

E' un telefono che consiglio assolutamente e credo che Google stia facendo un ottimo lavoro con la sua gamma Pixel, creando la giusta alternativa ad iPhone.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R21KQIVV0Q8M2W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,utente,"5,0 su 5 stelle",Recensito in Italia il 24 maggio 2025,"Ciao ra

Sono una ragazza molto attiva sui social media e sto sempre alla ricerca di uno smartphone che possa aiutarmi a creare contenuti di alta qualità.

Ecco perché ho deciso di acquistare il Google Pixel 8!

La prima cosa che mi ha colpita è la sua fotocamera: è semplicemente incredibile!

Le foto sono sempre nitide e dettagliate, anche in condizioni di luce scarsa. E la modalità ritratto? Wow!

Mi permette di creare foto che sembrano scattate da un professionista!

Inoltre, il Google Pixel 8 ha una batteria che dura tutto il giorno, anche con un utilizzo intensivo.

E la velocità? È così rapido!

Posso passare da un'app all'altra senza alcun problema e senza dover aspettare troppo.

Infine, il design è così elegante e minimalista!

Mi piace moltissimo il colore che ho scelto, il grigio, e la forma dello smartphone è così comoda da tenere in mano.

In sintesi, il Google Pixel 8 è uno smartphone che consiglio vivamente a tutte le ragazze che, come me, amano i social media e vogliono creare contenuti di alta qualità.

È un investimento che vale la pena fare!

Voto: 5/5
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2IGKZMYRRRR0X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Martina Pugliese,"4,0 su 5 stelle",Recensito in Italia il 5 agosto 2025,"Ho ordinato questo telefono a Novembre ad un prezzo di circa 450 euro e devo dire che dopo mesi non cambierei la mia scelta. Ho trovato in questo device la semplicità che stavo ricercando da tempo. Avevo necessità di un telefono minimal, semplice, senza tantissimi fronzoli e funzionalità inutili che ti offrono altre marche. Lo stile ricorda un po' IOS ma è un bellissimo Android per chi come me è allergico a Apple. Inizialmente ho avuto un po' di difficoltà a muovermi sullo schermo per tornare indietro e essendo i tastini di blocco/sblocco e volume invertiti rispetto ad altri smartphone, mi sono dovuta abituare al cambiamento ma niente di drammatico. È un po' più pesante e compatto (per chi come me è un po' sbadato può essere un punto a favole). Ha una riga nera come ""cornice dello schermo"" non mostrando quindi un display full screen ma non mi dà fastidio, quasi mi piace. Grandissima pecca è la batteria che dura veramente poco, ovviamente dipende sempre dall'uso che ognuno fa del device giornalmente, ma se passo qualche ora di mattina scrollando i social o facendo foto, il pomeriggio/sera è necessario caricarlo. Per questo sono molto preoccupata per la durata della batteria a lungo termine. Ovviamente dal telefono non uscirà il trasformatore Google, ma solo il cavo usbc in entrambe le estremità. Consiglio vivamente di comprare l'adattatore (lo so sono altri 40€ circa in più) ma il telefono com il caricatore originale integro carica diversamente.
L'intelligenza artificiale è ancora in fase sperimentale, esistono tante pecche su questa funzionalità che non sempre funziona benissimo ma è possibile inviare feedback di volta in volta che la si utilizza stessa cosa per l'assistente ""Gemini"" che sostituisce Google ma promette di ""stare ancora imparando"". Devo dire che essere considerata un ""tester"" dopo aver acqustato il prodotto nel corso del suo utilizzo mi ha lasciata un po' spiazzata appunto perché in fase di sperimentazione. Tuttavia, devo ammettere che è stata una curiosa e carina scoperta soprattutto per le funzionalità di editing base molto velocizzate.
Altro pro/contro sono gli aggiornamenti: si Google garantisce 5 anni di aggiornamenti ma invia download di continuo quindi non fate il mio stesso errore, vi suggerisco di spendere un po' in più e prendere uno smartphone con memoria più grande di 128g.
Questo anche in funzione di foto e video, vi assicuro che se avete la passione per la fotografia riempirete molto presto la memoria del telefono perché la risoluzione delle foto è spettacolare, nulla da invidiare ad altre marche che costano molto di più.

In conclusione, lo ricomprerei? Si, probabilmente ad un prezzo leggermente inferiore
Ne vale la pena? Bhe dipende dalle necessità! Per chi vuole foto ottime assolutamente si! Per chi cerca maggiori prestazioni a livello di sistema probabilmente no. Sono sicuro da tenere ben in considerazione il fattore memoria e batteria.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2XT1GBAG4PGWN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Teo,"5,0 su 5 stelle",Recensito in Italia il 20 maggio 2026,"Ho questo telefono da un anno e sono molto soddisfatta.
La batteria mi preoccupava, però alla fine non è stata un problema. E' vero che non è la batteria più duratura che ci sia, ma per uso quotidiano normale è più che sufficiente a coprire tutta la giornata. Solo in vacanza quando dovevo avere il telefono quasi sempre aperto per google Maps ammetto che mi serviva fare una ricarica durante il giorno.

La fotocamera è sorprendente e scatta foto di altissima qualità anche in cattive condizioni di luce e movimento. I colori sono brillanti ma realistici e bilanciati.

L'UI è favolosa e fluida. Una scomodità all'inizio è la tendina e il doppio step per accendere e spegnere il wifi e i dati mobili, però dopo un po' ci si abitua.

L'impronta digitale non è sempre perfetta, ma va bene.

Il sistema è stabile, veloce, mai un bug riscontrato, fluido anche nei videogiochi un po' pesanti (es: Infinity Nikki).

Insomma i mini difetti che ha sono mini in confronto a tutti i pregi e la bellezza di usarlo ogni giorno.

Infine si, la funzione AI io non la trovo indispensabile, però è una bella aggiunta per chi è interessato.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R7JNY9PRDW3RH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Andrea Scantamburlo,"5,0 su 5 stelle",Recensito in Italia il 28 marzo 2025,"Il Pixel 8a si presenta come uno smartphone sorprendente, un vero gioiello tecnologico che racchiude in sé l'essenza dell'innovazione Google. Fin dal primo utilizzo, si percepisce la cura nei dettagli e l'attenzione al design, elementi che lo rendono un dispositivo piacevole da tenere in mano e da utilizzare quotidianamente.

Fotocamera: Un'Esperienza Visiva Straordinaria

Il comparto fotografico è senza dubbio uno dei punti di forza del Pixel 8a. Le foto scattate con questo smartphone sono semplicemente spettacolari, capaci di catturare ogni dettaglio con una nitidezza e una vivacità di colori che lasciano a bocca aperta. La tecnologia di elaborazione delle immagini di Google fa miracoli, trasformando ogni scatto in un'opera d'arte. La modalità notturna è eccezionale, permettendo di ottenere foto luminose e dettagliate anche in condizioni di scarsa illuminazione. L'unica mancanza rispetto al Pixel 9 è la fotocamera zoom, ma per la maggior parte degli utenti, le prestazioni fotografiche del Pixel 8a sono più che sufficienti.

Sistema Operativo: Un'Intelligenza Artificiale al Tuo Servizio

Il sistema operativo Android, nella sua versione più pura e ottimizzata, è un vero piacere da utilizzare. L'interfaccia è fluida, intuitiva e personalizzabile, adattandosi perfettamente alle esigenze di ogni utente. L'intelligenza artificiale di Google è sempre presente, anticipando le tue esigenze e offrendo suggerimenti e funzionalità utili in ogni situazione. Il sistema operativo ""cresce"" con te, imparando dalle tue abitudini e adattandosi al tuo stile di vita.

Batteria: Un'Autonomia da Record

L'autonomia della batteria è un altro aspetto che sorprende positivamente. Con un utilizzo normale, il Pixel 8a è in grado di durare fino a due giorni, un risultato eccezionale che permette di affrontare la giornata senza preoccupazioni. La ricarica è rapida e efficiente, consentendo di tornare operativi in poco tempo.

Prestazioni e Fluidità

Il Pixel 8a è dotato di un processore potente e ottimizzato, in grado di gestire qualsiasi attività senza problemi. Le app si aprono rapidamente, i giochi girano fluidi e il multitasking è impeccabile. L'esperienza d'uso è sempre piacevole e reattiva, senza rallentamenti o incertezze.

Conclusioni

Il Pixel 8a è uno smartphone eccezionale, che offre prestazioni da top di gamma a un prezzo più accessibile. La fotocamera è straordinaria, il sistema operativo è intelligente e personalizzabile, la batteria dura a lungo e le prestazioni sono eccellenti. Se stai cercando uno smartphone completo, affidabile e con un ottimo rapporto qualità-prezzo, il Pixel 8a è la scelta ideale. Non rimpiango assolutamente il mio vecchio Realme 8 Pro
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2TXU1DTGZEE4G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Max,"5,0 su 5 stelle",Recensito in Italia il 16 giugno 2024,"Ho avuto la possibilita di utilizzare anche il Pixel 8 per un paio di mesi e faccio confronto con lui.

🔹Design, materiali
il 8A è leggermente più grande del 8 liscio
152.1 x 72.7 x 8.9 mm vs 150.5 x 70.8 x 8.9 mm pero non è una differenze che si nota, il peso è quasi identico, il frame laterale è fatto in alluminio, la scocca posteriore in plastica opaca, molto piacevole al tatto e non scivolosa. Ho preso il colore Bay Blue ed è bellissimo davvero. La fotocamera sporge molto meno di quella su Pixel 8. La qualità costruttiva mi sembra migliorata rispetto al 8 liscio, è sparito il rumorino della ""scatola vuota"" quando tocchi il display, il telefono è robusto e solido. È abbastanza compatto, il peso è ben bilanciato e si maneggia molto bene anche con una mano.

🔹Display
Si, ce l'ha dei cornicioni, sono molto più spessi di quelli su Pixel 8 senza dubbio, non sono bellissimi perché non sono uniformi tra l'altro. È un grosso problema? No! Sono abituato dopo 1 ora e non ci faccio più caso. Per il resto il display è quasi identico a Pixel 8, luminoso, nitido, si legge bene al sole, fluido (120 Hz).
il PWM ( per chi lo sa cos'è ) è basso (240 Hz) , pero non mi ha dato noia sinceramente, anche leggendo nel buio.

🔹Connettività
Non lo so se è legato all'aggiornamento di giugno o la scocca in plastica ( rispetto al vetro in Pixel 8) ma la qualità di connessione è migliorata, sia in chiamata che la velocita del 4G. Non mi ha dato nessun problema con Windtre. Bluetooth e Wifi tutto ok, nessun anomalia, funziona tutto a dovere.
Non saprei dire per il 5G perché non lo utlizzo.

🔹Batteria
La batteria è di una capacita simile al Pixel 8 e infatti anche l'autonomia. Con i dati in 4G riesco fare 4,5 -5 ore di schermo attivo, anche nelle giornate di sole, con Wifi dura molto di più . Per me bastano. Credo che sia una autonomia tipica per i telefoni compatti( s23 che avevo utilizzato per mesi aveva una durata molto simile) . La ricarica è lenta e per me non è un problema perché lo carico solo la notte. Se volete migliorare la durata della batteria, ottimizzate le app, disattivate in background tutta la roba inutile. Dopo una settimana di utilizzo e ottimizzazione la durata della batteria dovrebbe migliorare.

🔹Camera
Come sempre con i Pixel la fotocamera è il suo punto forte, foto belle, definite, colori naturali. ""Punta e scatta"" perfetto, video di buona qualità. Tecnicamente la fotocamera di 8A è peggio di Pixel 8, pero a ""occhio nudo"" non vedo le differenze.

🔹Sblocco
Identico al Pixel 8. Sblocco facciale funziona molto bene, fatica solo con poca luce, è di elevata sicurezza e quindi il sistema vi permette utilizzarlo per le app bancarie ( ho provato con Intesa) e Google Pay. L'impronta finziona 3 volte su 5. Con le mani bagnate scordatevelo. Non capisco perché Google non vuole passare al Face Unlock completo, uguale a quello di Apple come aveva il Pixel 4 ( con sensori appositi, funzionante anche in buoi)

🔹Esperienza d'uso
il telefono è fluido, veloce, animazioni molto curate. A me piace ""Pixel Experience"" di Google, anche se è privo di alcuni funzioni e personalizzioni, è molto minimalistica e curata, unico account , niente app doppi, coerenza grafica di tutto il sistema, aggiornamenti in prima fila nel mondo Android per tanti anni. Può sembrare troppo minimalistico per chi è abituato alla Samsung o altri, è una questione di gusti, secondo me è perfetto per chi vuole passare da iOs, perché offre un esperienza molto simile.

Non è un telefono per tutti comunque, a volte si scalda, molto meno di prima, pero si scalda. La conessione anche se è migliorata, pero è piu debole della concorrenza con i modem della Qualcomm. Pero è un telefono con anima, diverso da tonellate di Android uguali, molto intuitivo e semplice da usare.

AGGIORNAMENTO 1/11/2024
Aggiorno la mia esperienza dopo l'aggiornamento al Android 15 e cambio operatore. Il telefono non scalda più, diventa leggermente tiepido sotto rete dati, prende bene e non crea assolutamente problemi con le chiamate o velocita rete dati (4G). È diventato più fluido ( velocità animazione impostata a 1,5x) . Anche l'autonomia mi sembra migliorata, faccio sempre intorno 5-7 ore di display attivo con ulilizzo misto nonostante ho aggiunto una esim per avere due numeri sempre attivi. Sono molto contento del telefono, non mi fa sentire mancaza di niente. Aggiungo volentieri la quinta stella, al prezzo di oggi è sicuramente da prendere se vi piace Android ""puro"" e aggiornamenti alla pari della Apple.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RHUN65EDMDR58/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Simona P.,"1,0 su 5 stelle",Recensito in Italia il 30 giugno 2026,"L’ articolo l’ ho rimandato indietro perché non era funzionale ma ho perso sia il telefono che il rimborso …. Mai più
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3Q64LW1GHXT5S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,iKiwed,"4,0 su 5 stelle",Recensito in Italia il 26 agosto 2026,"Sto scrivendo in questo preciso momento con il Pixel 8a, il mio telefono (principale).
Lo comprai per sostituire il purtroppo andato iPhone 12 Mini, che lo tenni per il suo schermo piccolo. Il Pixel 8a ha lo schermo da 6.1 che non é grande per gli standard odierni, ma personalmente rimane difficile da usare...
Comunque, a parte questo, é un prodotto dove tutto funziona bene, senza ulteriori particolarità.
Nel 2026 dovrebbe avere ancora 2 anni di aggiornamenti principali + altri 4 di sicurezza. Inoltre essendo un prodotto Google Pixel, ha il supporto di tante comunità per eventuali rom personalizzate (in pratica ti permetterebbe di avere gli aggiornamenti Android più nuovi anche dopo anni e anni che il supporto ufficiale finisce).
Nel complesso é ancora un telefono che consiglio!
"
https://www.amazon.it/portal/customer-reviews/srp/-/RZNS8RJ9DT5BG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Alessio,"5,0 su 5 stelle",Recensito in Italia il 25 giugno 2026,"Ho deciso di acquistare due Google Pixel 8a, uno per mia moglie e uno per me, dopo aver valutato attentamente le opzioni superiori. A distanza di tempo, posso confermare che, pur trattandosi di un modello della ""a series"", non ho alcun rimpianto per non aver puntato sui modelli ""normale"" o ""Pro"".
Esperienza software: Essendo un prodotto Google, il supporto è totale. L'esperienza Android è fluida e ogni novità o aggiornamento delle app Google viene implementato immediatamente nel sistema, offrendo un vantaggio competitivo non trascurabile.
Sicurezza biometrica: Il riconoscimento facciale e quello tramite impronta digitale sono praticamente perfetti: rapidi, precisi e costanti, eliminando qualsiasi frustrazione durante lo sblocco del dispositivo.
Prestazioni fotografiche: La capacità di elaborazione di Google rende i risultati finali eccellenti, garantendo scatti affidabili e di alta qualità in ogni condizione.
Autonomia: La batteria è onesta. Con un uso quotidiano che alterna social, qualche sessione di gaming e la visione di contenuti video, si arriva a fine serata senza problemi. È un dispositivo su cui si può fare affidamento.
Analisi del costo: È qui che il Pixel 8a vince la sfida. Se la differenza di prezzo con i modelli superiori fosse stata contenuta (nell'ordine dei 100€), avrei forse valutato il salto, ma con una forbice che oscilla tra i 250€ e i 400€ in più, il Pixel 8a si conferma la scelta di gran lunga più logica.
Giudizio finale:
Acquistarne due è stata la conferma della bontà del prodotto. Se cercate uno smartphone che faccia bene tutto, supportato costantemente nel tempo, il Pixel 8a è la scelta corretta. Non fatevi scoraggiare dalla dicitura ""a series"": per l'uso quotidiano, questo telefono è a tutti gli effetti un top di gamma.
"
